comments,duration,event,languages,main_speaker,name,num_speaker,views2,tags,number,lengths,views
,,,,,,,,,,7,2025005
,,,,,,,,,,5,2019969
,,,,,,,,,,9,2014461
,,,,,,,,,,5,2012387
,,,,,,,,,,7,2006050
,,,,,,,,,,8,2005189
,,,,,,,,,,5,2004519
,,,,,,,,,,8,2004123
,,,,,,,,,,3,1995401
,,,,,,,,,,4,1985679
,,,,,,,,,,7,1981978
,,,,,,,,,,8,1974007
,,,,,,,,,,5,1971157
,,,,,,,,,,10,1954438
,,,,,,,,,,9,1947342
,,,,,,,,,,7,1939539
,,,,,,,,,,5,1935213
,,,,,,,,,,6,1934877
,,,,,,,,,,11,1929261
,,,,,,,,,,6,1920434
,,,,,,,,,,8,1908266
,,,,,,,,,,6,1905680
,,,,,,,,,,8,1901605
,,,,,,,,,,4,1895259
,,,,,,,,,,8,1890978
,,,,,,,,,,5,1890066
,,,,,,,,,,6,1888717
,,,,,,,,,,5,1885751
,,,,,,,,,,6,1877673
,,,,,,,,,,7,1866264
,,,,,,,,,,7,1858990
,,,,,,,,,,3,1854024
,,,,,,,,,,11,1839891
,,,,,,,,,,5,1838628
,,,,,,,,,,4,1836382
,,,,,,,,,,7,1836233
,,,,,,,,,,7,1836106
,,,,,,,,,,3,1832930
,,,,,,,,,,6,1803069
,,,,,,,,,,8,1801117
,,,,,,,,,,6,1800490
,,,,,,,,,,7,1788182
,,,,,,,,,,7,1785193
,,,,,,,,,,3,1783740
,,,,,,,,,,9,1781721
,,,,,,,,,,7,1780746
,,,,,,,,,,5,1778606
,,,,,,,,,,4,1776779
,,,,,,,,,,8,1773697
,,,,,,,,,,8,1772635
,,,,,,,,,,7,1765153
,,,,,,,,,,3,1762302
,,,,,,,,,,6,1762082
,,,,,,,,,,9,1752014
,,,,,,,,,,6,1751426
,,,,,,,,,,4,1751030
,,,,,,,,,,7,1738331
,,,,,,,,,,6,1736329
,,,,,,,,,,5,1730653
,,,,,,,,,,8,1723874
,,,,,,,,,,8,1721411
,,,,,,,,,,3,1720579
,,,,,,,,,,5,1714168
,,,,,,,,,,6,1712075
,,,,,,,,,,6,1710873
,,,,,,,,,,6,1705702
,,,,,,,,,,12,1703367
,,,,,,,,,,13,1701743
,,,,,,,,,,3,1697550
,,,,,,,,,,6,1697185
,,,,,,,,,,5,1692225
,,,,,,,,,,6,1687185
,,,,,,,,,,6,1683456
,,,,,,,,,,5,1683410
,,,,,,,,,,6,1678493
,,,,,,,,,,11,1674355
,,,,,,,,,,4,1666552
,,,,,,,,,,5,1663001
,,,,,,,,,,5,1654299
,,,,,,,,,,9,1648677
,,,,,,,,,,7,1641675
,,,,,,,,,,4,1636425
,,,,,,,,,,2,1636292
,,,,,,,,,,5,1628912
,,,,,,,,,,8,1626686
,,,,,,,,,,4,1624716
,,,,,,,,,,6,1624605
,,,,,,,,,,5,1624428
,,,,,,,,,,7,1624248
,,,,,,,,,,7,1618434
,,,,,,,,,,6,1617977
,,,,,,,,,,4,1609555
,,,,,,,,,,5,1608679
,,,,,,,,,,8,1607427
,,,,,,,,,,5,1607397
,,,,,,,,,,8,1605113
,,,,,,,,,,5,1604402
,,,,,,,,,,6,1600522
,,,,,,,,,,2,1596067
,,,,,,,,,,5,1594241
,,,,,,,,,,11,1591696
,,,,,,,,,,9,1588740
,,,,,,,,,,4,1587823
,,,,,,,,,,9,1587546
,,,,,,,,,,4,1586547
,,,,,,,,,,4,1580239
,,,,,,,,,,11,1576773
,,,,,,,,,,7,1575699
,,,,,,,,,,10,1575381
,,,,,,,,,,7,1567528
,,,,,,,,,,8,1566854
,,,,,,,,,,10,1566602
,,,,,,,,,,7,1565486
,,,,,,,,,,8,1546610
,,,,,,,,,,8,1543588
,,,,,,,,,,6,1542898
,,,,,,,,,,4,1539504
,,,,,,,,,,2,1538107
,,,,,,,,,,3,1536873
,,,,,,,,,,7,1533054
,,,,,,,,,,10,1532875
,,,,,,,,,,4,1532675
,,,,,,,,,,11,1531675
,,,,,,,,,,12,1531606
,,,,,,,,,,6,1530711
,,,,,,,,,,13,1528815
,,,,,,,,,,7,1526242
,,,,,,,,,,5,1522858
,,,,,,,,,,4,1520908
,,,,,,,,,,5,1520108
,,,,,,,,,,6,1514014
,,,,,,,,,,6,1512972
,,,,,,,,,,6,1507409
,,,,,,,,,,5,1507048
,,,,,,,,,,10,1506064
,,,,,,,,,,10,1503016
,,,,,,,,,,9,1498103
,,,,,,,,,,6,1493866
,,,,,,,,,,9,1492275
,,,,,,,,,,7,1491698
,,,,,,,,,,5,1486880
,,,,,,,,,,8,1485761
,,,,,,,,,,4,1485196
,,,,,,,,,,5,1479503
,,,,,,,,,,5,1479352
,,,,,,,,,,5,1476377
,,,,,,,,,,12,1475823
,,,,,,,,,,6,1474192
,,,,,,,,,,5,1469884
,,,,,,,,,,7,1467971
,,,,,,,,,,7,1464877
,,,,,,,,,,7,1460352
,,,,,,,,,,7,1454663
,,,,,,,,,,4,1451846
,,,,,,,,,,5,1451649
,,,,,,,,,,9,1443340
,,,,,,,,,,3,1442990
,,,,,,,,,,7,1439616
,,,,,,,,,,8,1439341
,,,,,,,,,,10,1437353
,,,,,,,,,,10,1437261
,,,,,,,,,,5,1427723
,,,,,,,,,,10,1426970
,,,,,,,,,,4,1426390
,,,,,,,,,,5,1426132
,,,,,,,,,,7,1422767
,,,,,,,,,,6,1421509
,,,,,,,,,,10,1419325
,,,,,,,,,,11,1419314
,,,,,,,,,,6,1415724
,,,,,,,,,,5,1410164
,,,,,,,,,,9,1405909
,,,,,,,,,,4,1404984
,,,,,,,,,,4,1399811
,,,,,,,,,,9,1398751
,,,,,,,,,,9,1397126
,,,,,,,,,,6,1396369
,,,,,,,,,,5,1396197
,,,,,,,,,,6,1394503
,,,,,,,,,,6,1394203
,,,,,,,,,,6,1391142
,,,,,,,,,,9,1386424
,,,,,,,,,,6,1384333
,,,,,,,,,,3,1383079
,,,,,,,,,,11,1378298
,,,,,,,,,,8,1373382
,,,,,,,,,,6,1371482
,,,,,,,,,,6,1370710
,,,,,,,,,,11,1370547
,,,,,,,,,,8,1365646
,,,,,,,,,,4,1363726
,,,,,,,,,,9,1363680
,,,,,,,,,,11,1360404
,,,,,,,,,,4,1359400
,,,,,,,,,,6,1357888
,,,,,,,,,,8,1354522
,,,,,,,,,,3,1352069
,,,,,,,,,,6,1351691
,,,,,,,,,,7,1349028
,,,,,,,,,,12,1346060
,,,,,,,,,,9,1342356
,,,,,,,,,,9,1341106
,,,,,,,,,,7,1335732
,,,,,,,,,,6,1332785
,,,,,,,,,,6,1324929
,,,,,,,,,,3,1314201
,,,,,,,,,,7,1306390
,,,,,,,,,,11,1304737
,,,,,,,,,,3,1304597
,,,,,,,,,,7,1301734
,,,,,,,,,,6,1297943
,,,,,,,,,,10,1294952
,,,,,,,,,,7,1294171
,,,,,,,,,,7,1292110
,,,,,,,,,,12,1287111
,,,,,,,,,,8,1281570
,,,,,,,,,,5,1281099
,,,,,,,,,,5,1280829
,,,,,,,,,,6,1277619
,,,,,,,,,,12,1276015
,,,,,,,,,,7,1272198
,,,,,,,,,,10,1266485
,,,,,,,,,,11,1265177
,,,,,,,,,,10,1264166
,,,,,,,,,,4,1263442
,,,,,,,,,,7,1262674
,,,,,,,,,,7,1259603
,,,,,,,,,,2,1258574
,,,,,,,,,,12,1257079
,,,,,,,,,,8,1256969
,,,,,,,,,,10,1252289
,,,,,,,,,,7,1248458
,,,,,,,,,,9,1244502
,,,,,,,,,,8,1243930
,,,,,,,,,,5,1237391
,,,,,,,,,,7,1231423
,,,,,,,,,,5,1231159
,,,,,,,,,,9,1229640
,,,,,,,,,,8,1227480
