main_speaker,num_speaker,speaker_occupation
Jane Goodall,1,Primatologist; environmentalist
Jane McGonigal,1,Game Designer
Janet Echelman,1,Artist
Janet Iwasa,1,Molecular animator
Janine Benyus,1,"Science writer, innovation consultant, conservationist"
Janna Levin,1,Physicist
Jared Diamond,1,Civilization scholar
Jared Diamond,1,Civilization scholar
Jared Ficklin,1,Visualizer
Jason Pontin,1,Editor
Jay Walker,1,Entrepreneur
Jay Walker,1,Entrepreneur
Jean-Baptiste Michel,1,Data researcher
Jedidah Isler,1,Astrophysicist
Jeff Bezos,1,Online commerce pioneer
Jeff Han,1,Human-computer interface designer
Jeff Hawkins,1,"Computer designer, brain researcher"
Jeff Skoll,1,Producer
Jeffrey Brown,1,Pastor
Jehane Noujaim,1,Filmmaker
Jennifer Granholm,1,Former governor of Michigan
Jennifer Kahn,1,Science journalist
Jennifer Lin,1,"Pianist, composer"
Jennifer Pahlka,1,Code activist
Jennifer Senior,1,Writer
Jeremy Kasdin,1,Planet finder
Jessica Green,1,Engineer and biodiversity scientist
Jessica Ladd,1,"Founder and CEO, Callisto"
Ji-Hae Park,1,Violinist
Jill Bolte Taylor,1,Neuroanatomist
Jill Sobule,1,Singer/songwriter
Jill Sobule + Julia Sweeney,2,Singer/songwriter
Jill Tarter,1,Astronomer
Jim Fallon,1,Neurobiologist
Jim Holt,1,Writer and philosopher
Jim Simons,1,"Philanthropist, mathematician"
Jim Yong Kim,1,"President, World Bank Group"
Jimmy Lin,1,Geneticist
Jinha Lee,1,"Interface designer, engineer"
Jinsop Lee,1,Multi-sense designer
Joachim de Posada,1,Speaker and author
JoAnn Kuchera-Morin,1,Composer
Joe DeRisi,1,Biochemist
Joe Gebbia,1,"Designer, co-founder of Airbnb"
Joey Alexander,1,Jazz pianist
John Doerr,1,Venture capitalist
John Francis,1,Planet walker
John Hockenberry,1,Journalist
John Hodgman,1,Expert
John Hodgman,1,Expert
John Hunter,1,Educator
John Kasaona,1,Conservationist
John La Grou,1,Inventor
John Legend,1,"Singer, musician, composer"
John Maeda,1,Artist
John McWhorter,1,Linguist
John McWhorter,1,Linguist
John Underkoffler,1,Interface designer
John Wooden,1,Coach
Johnny Lee,1,Human-computer interaction researcher
Joi Ito,1,Relentless mind
Jok Church,1,Cartoonist
Jon Boogz and Lil Buck,5,Movement artist
Jon Mooallem,1,Writer
Jon Ronson,1,Writer and filmmaker
Jonathan Drori,1,Educator
Jonathan Drori,1,Educator
Jonathan Drori,1,Educator
Jonathan Haidt,1,Social psychologist
Jonathan Haidt,1,Social psychologist
Jonathan Harris,1,"Artist, storyteller, Internet anthropologist"
Jonathan Harris,1,"Artist, storyteller, Internet anthropologist"
Jonathan Klein,1,Executive
Jorge Drexler,1,"Musician, poet"
Jorge Ramos,1,"Journalist, news anchor"
Joseph DeSimone,1,"Chemist, inventor"
Joseph Pine,1,Writer
Joseph Ravenell,1,Physician and men®πs health advocate
Joseph Redmon,1,Computer scientist
Joshua Foer,1,Writer
Joshua Klein,1,Hacker
Joshua Prager,1,Journalist
Joshua Prince-Ramus,1,Architect
Jos√© Antonio Abreu,1,Maestro
JR,1,Street artist
JR,1,Street artist
Juan Enriquez,1,Futurist
Juan Enriquez,1,Futurist
Juan Enriquez,1,Futurist
Judy MacDonald Johnston,1,Entrepreneur
Julia Sweeney,1,"Actor, comedian, playwright"
Julia Sweeney,1,"Actor, comedian, playwright"
Juliana Machado Ferreira,1,Biologist
Julie Burstein,1,Writer and radio producer
Julie Taymor,1,"Director, designer"
